user_id,item_id,estimated_rating,movie_title
907,98,4.400146661310784,"Silence of the Lambs, The (1991)"
907,79,4.324104779436386,"Fugitive, The (1993)"
907,172,4.2757286633721465,"Empire Strikes Back, The (1980)"
907,185,4.27442549317956,Psycho (1960)
907,647,4.198146535738557,Ran (1985)
907,173,4.1487482719948705,"Princess Bride, The (1987)"
907,1,4.099784756414377,Toy Story (1995)
907,813,4.049997797730187,"Celluloid Closet, The (1995)"
907,143,3.9988806593226958,"Sound of Music, The (1965)"
907,25,3.9249619621544136,"Birdcage, The (1996)"
371,97,4.1005849471182225,Dances with Wolves (1990)
371,746,4.0254302031871205,Real Genius (1985)
371,210,4.024195267809441,Indiana Jones and the Last Crusade (1989)
371,186,3.926059226672767,"Blues Brothers, The (1980)"
371,55,3.924401958442876,"Professional, The (1994)"
371,175,3.8237166945262855,Brazil (1985)
371,431,3.800494600757314,Highlander (1986)
371,237,3.5995495437963383,Jerry Maguire (1996)
218,654,4.47694506276261,Chinatown (1974)
218,12,4.422818361675953,"Usual Suspects, The (1995)"
218,209,4.2498208056447915,This Is Spinal Tap (1984)
218,42,3.920863971521688,Clerks (1994)
218,164,3.674812371917616,"Abyss, The (1989)"
218,789,3.6431808723568957,Swimming with Sharks (1995)
218,47,3.575044198140618,Ed Wood (1994)
218,762,3.449003809823591,Beautiful Girls (1996)
218,695,2.758163573296283,Kicking and Screaming (1995)
829,408,4.549320850506362,"Close Shave, A (1995)"
829,190,4.298388168322443,Henry V (1989)
829,170,4.275899932331823,Cinema Paradiso (1988)
829,198,4.151413895164894,Nikita (La Femme Nikita) (1990)
829,124,4.124689765743125,Lone Star (1996)
829,213,4.099776397714319,"Room with a View, A (1986)"
829,268,3.9764434017542647,Chasing Amy (1997)
829,70,3.949655220493671,Four Weddings and a Funeral (1994)
829,129,3.9488136636445454,Bound (1996)
829,276,3.8998664540801222,Leaving Las Vegas (1995)
733,515,4.325781109110052,"Boot, Das (1981)"
733,14,4.124434056712897,"Postino, Il (1994)"
733,922,3.8619056824968716,Dead Man (1995)
733,1,3.8006686573195205,Toy Story (1995)
733,471,3.6736764591875497,Courage Under Fire (1996)
733,1129,3.668417960421334,Chungking Express (1994)
733,245,3.5516268818274184,"Devil's Own, The (1997)"
733,1115,3.4396794279830805,Twelfth Night (1996)
733,13,3.424738377531092,Mighty Aphrodite (1995)
733,762,3.3989489206984644,Beautiful Girls (1996)
363,169,4.624986422639706,"Wrong Trousers, The (1993)"
363,1512,4.4852082743559,"World of Apu, The (Apur Sansar) (1959)"
363,174,4.4745859764432,Raiders of the Lost Ark (1981)
363,187,4.350402660473486,"Godfather: Part II, The (1974)"
363,100,4.248424325484795,Fargo (1996)
363,216,4.201315974884695,When Harry Met Sally... (1989)
363,181,4.198160011139687,Return of the Jedi (1983)
363,435,4.149003276788777,Butch Cassidy and the Sundance Kid (1969)
363,1007,4.1118829477814005,Waiting for Guffman (1996)
363,180,4.1000503996368005,Apocalypse Now (1979)
193,100,4.225567691874818,Fargo (1996)
193,127,4.150297294259602,"Godfather, The (1972)"
193,195,4.074050466102035,"Terminator, The (1984)"
193,96,4.049952971761349,Terminator 2: Judgment Day (1991)
193,56,4.000050808510319,Pulp Fiction (1994)
193,487,3.973675575973204,Roman Holiday (1953)
193,286,3.9500087480611477,"English Patient, The (1996)"
193,210,3.8997152411906617,Indiana Jones and the Last Crusade (1989)
193,82,3.8993683593708957,Jurassic Park (1993)
193,25,3.775975471148095,"Birdcage, The (1996)"
808,313,4.37493335427255,Titanic (1997)
808,262,3.802099471405959,In the Company of Men (1997)
808,346,3.7487362993281734,Jackie Brown (1997)
808,327,3.6758407392940273,Cop Land (1997)
808,300,3.675042662603383,Air Force One (1997)
808,312,3.2752991750509604,Midnight in the Garden of Good and Evil (1997)
808,872,3.0693466574730035,Love Jones (1997)
808,325,2.751168359244269,Crash (1996)
808,875,2.699517477211254,She's So Lovely (1997)
557,50,4.299346207616752,Star Wars (1977)
557,198,4.1005908700149885,Nikita (La Femme Nikita) (1990)
557,150,3.8272371460265675,Swingers (1996)
557,271,3.152583569431676,Starship Troopers (1997)
557,1244,3.03006419294636,Metro (1997)
557,682,2.9527543192224726,I Know What You Did Last Summer (1997)
774,64,4.522541328220255,"Shawshank Redemption, The (1994)"
774,178,4.5030585276676325,12 Angry Men (1957)
774,22,4.401782021681745,Braveheart (1995)
774,135,4.370088920214578,2001: A Space Odyssey (1968)
774,185,4.250633664304872,Psycho (1960)
774,234,4.124671501977515,Jaws (1975)
774,186,4.0257045521801755,"Blues Brothers, The (1980)"
774,293,3.96828839349233,Donnie Brasco (1997)
774,518,3.9248125924954045,Miller's Crossing (1990)
774,238,3.924721004926224,Raising Arizona (1987)
638,515,4.347246250746365,"Boot, Das (1981)"
638,174,4.27453763435865,Raiders of the Lost Ark (1981)
638,82,4.249807361197788,Jurassic Park (1993)
638,210,4.24915015665224,Indiana Jones and the Last Crusade (1989)
638,183,4.201242602325594,Alien (1979)
638,265,4.098962325479606,"Hunt for Red October, The (1990)"
638,204,4.098251606687141,Back to the Future (1985)
638,144,3.999237498278889,Die Hard (1988)
638,121,3.624464338348178,Independence Day (ID4) (1996)
638,118,3.5504341273285918,Twister (1996)
632,318,4.64930523068992,Schindler's List (1993)
632,168,4.300340255781934,Monty Python and the Holy Grail (1974)
632,134,4.276785567363913,Citizen Kane (1941)
632,275,4.200511213599102,Sense and Sensibility (1995)
632,215,4.099567906417899,Field of Dreams (1989)
632,100,4.0503304459142155,Fargo (1996)
632,176,4.027269454365595,Aliens (1986)
632,11,3.899838120954839,Seven (Se7en) (1995)
632,7,3.8722254568523744,Twelve Monkeys (1995)
632,55,3.8491002477549263,"Professional, The (1994)"
417,180,4.425828961723922,Apocalypse Now (1979)
417,185,4.3506022643278435,Psycho (1960)
417,963,4.271184821080928,Some Folks Call It a Sling Blade (1993)
417,475,4.249156928193221,Trainspotting (1996)
417,176,4.2490077109984945,Aliens (1986)
417,208,4.125424395857923,Young Frankenstein (1974)
417,156,4.076615864406048,Reservoir Dogs (1992)
417,242,4.073150678171095,Kolya (1996)
417,228,4.050013442959982,Star Trek: The Wrath of Khan (1982)
417,200,4.02512035564278,"Shining, The (1980)"
580,471,3.5003503901113238,Courage Under Fire (1996)
580,271,3.4501280665359433,Starship Troopers (1997)
580,250,3.4241855751332775,"Fifth Element, The (1997)"
580,619,3.402800345291261,Extreme Measures (1996)
580,123,3.37681738588646,"Frighteners, The (1996)"
580,1028,3.352468581489317,Grumpier Old Men (1995)
580,1014,3.248719002181844,Romy and Michele's High School Reunion (1997)
580,249,3.1985494851081215,Austin Powers: International Man of Mystery (1997)
580,281,3.1240933636262165,"River Wild, The (1994)"
640,12,4.550185537568553,"Usual Suspects, The (1995)"
640,170,4.30026390881519,Cinema Paradiso (1988)
640,56,4.299303133493962,Pulp Fiction (1994)
640,302,4.1999568689030164,L.A. Confidential (1997)
640,315,4.125728995800348,Apt Pupil (1998)
640,126,4.1011838890834875,"Spitfire Grill, The (1996)"
640,210,4.0253155382361205,Indiana Jones and the Last Crusade (1989)
640,55,3.9762260312307354,"Professional, The (1994)"
640,204,3.9755760347052194,Back to the Future (1985)
640,14,3.925166317170845,"Postino, Il (1994)"
450,427,4.599869915365529,To Kill a Mockingbird (1962)
450,318,4.5499197627251995,Schindler's List (1993)
450,136,4.475474691792584,Mr. Smith Goes to Washington (1939)
450,191,4.475287478154388,Amadeus (1984)
450,174,4.474737986469953,Raiders of the Lost Ark (1981)
450,657,4.4747189582207545,"Manchurian Candidate, The (1962)"
450,479,4.474564409991694,Vertigo (1958)
450,423,4.450178812345316,E.T. the Extra-Terrestrial (1982)
450,56,4.399329598035958,Pulp Fiction (1994)
